"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"5S_rRNA",0,2,0,0,0,0
"5_8S_rRNA",0,0,0,0,0,0
"7SK",0,0,0,0,1,0
"A1BG",3,6,5,12,2,0
"A1BG-AS1",107,108,114,100,61,28
"A1CF",0,0,0,0,0,0
"A2M",1781,2979,946,1892,219,936
"A2M-AS1",52,78,60,57,26,28
"A2ML1",4,1,0,2,0,1
"A2ML1-AS1",0,0,0,0,0,0
"A2ML1-AS2",0,0,1,0,0,0
"A2MP1",4,1,4,0,2,0
"A3GALT2",0,0,1,0,0,0
"A4GALT",186,114,146,10,2,2
"A4GNT",0,0,0,0,0,0
"AA06",0,0,0,0,0,0
"AAAS",544,584,584,840,422,414
"AACS",493,506,434,406,211,307
"AACSP1",1,0,0,0,1,0
"AADAC",1,0,1,0,0,0
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADACP1",0,1,0,1,0,0
"AADAT",1,2,7,1,3,2
"AAED1",206,199,131,196,91,77
"AAGAB",1356,1425,1199,1413,681,927
"AAK1",465,467,391,476,366,370
"AAMDC",235,280,261,323,126,121
"AAMP",1684,2113,1737,1701,935,969
"AANAT",4,1,8,1,0,0
"AAR2",404,514,437,632,351,304
"AARD",1,6,1,29,3,11
"AARS",923,1235,1135,1072,710,681
"AARS2",250,257,288,306,243,185
"AARSD1",22,10,11,19,10,10
"AARSP1",0,0,0,0,0,0
"AASDH",94,131,171,202,164,139
"AASDHPPT",660,711,649,1089,566,813
"AASS",137,145,119,202,133,165
"AATBC",0,0,2,2,0,2
"AATF",583,762,558,591,298,350
"AATK",341,506,457,285,132,83
"AATK-AS1",0,6,7,0,0,1
"AB015752.3",0,3,0,2,1,3
"AB019438.66",0,0,0,0,0,0
"AB019440.50",0,0,0,0,0,0
"AB019441.29",23,36,23,19,13,6
"ABALON",2,0,2,3,2,0
"ABAT",323,408,318,395,333,333
"ABBA01037345.1",0,0,0,0,0,0
"ABBA01037346.1",0,0,0,0,0,0
"ABBA01037349.1",0,0,0,0,0,0
"ABC11-4932300O16.1",0,0,0,0,0,0
"ABC12-47043100G14.2",0,0,0,0,0,0
"ABC12-47964100C23.1",0,0,0,0,0,0
"ABC12-49244600F4.4",0,2,0,3,2,0
"ABC7-42391500H16.4",0,0,0,0,0,0
"ABC7-42404400C24.1",1,0,3,2,10,0
"ABC7-42418200C9.1",0,0,0,0,0,0
"ABC7-481722F1.1",0,0,0,0,0,0
"ABC7-481722F1.2",0,0,0,0,0,0
"ABCA1",283,173,530,257,40,62
"ABCA10",38,39,57,48,27,29
"ABCA11P",11,10,9,46,21,26
"ABCA12",2,1,1,8,2,3
"ABCA13",1,6,4,0,2,0
"ABCA17P",16,25,32,67,22,19
"ABCA2",1061,872,1579,1033,1088,660
"ABCA3",1469,2378,4312,1721,1387,671
"ABCA4",117,150,138,60,12,39
"ABCA5",323,435,515,413,306,301
"ABCA6",56,135,35,62,81,52
"ABCA7",728,853,1036,707,402,402
"ABCA8",281,241,289,610,251,489
"ABCA9",36,48,60,17,28,18
"ABCA9-AS1",0,0,0,0,0,0
"ABCB1",0,0,1,196,95,165
"ABCB10",168,204,183,199,126,163
"ABCB10P1",0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0
"ABCB10P4",0,0,0,0,0,0
"ABCB11",1,0,0,0,0,0
"ABCB4",0,0,0,5,2,0
"ABCB5",0,0,2,1,2,0
