"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"5S_rRNA",0,1.72368544308118,0,0,0,0
"5_8S_rRNA",0,0,0,0,0,0
"7SK",0,0,0,0,1.37716641930868,0
"A1BG",2.8217386779319,5.17105632924354,4.45755389863489,9.20933422523034,2.75433283861736,0
"A1BG-AS1",100.642012846238,93.0790139263838,101.632228888876,76.7444518769195,84.0071515778295,35.4591223889515
"A1CF",0,0,0,0,0,0
"A2M",1675.17219513224,2567.42946746942,843.369197621722,1452.00502951132,301.599445828601,1185.34780557352
"A2M-AS1",48.9101370841529,67.2237322801661,53.4906467836187,43.7443375698441,35.8063269020257,35.4591223889515
"A2ML1",3.76231823724253,0.861842721540591,0,1.53488903753839,0,1.26639722817684
"A2ML1-AS1",0,0,0,0,0,0
"A2ML1-AS2",0,0,0.891510779726979,0,0,0
"A2MP1",3.76231823724253,0.861842721540591,3.56604311890791,0,2.75433283861736,0
"A3GALT2",0,0,0.891510779726979,0,0,0
"A4GALT",174.947798031778,98.2500702556273,130.160573840139,7.67444518769195,2.75433283861736,2.53279445635368
"A4GNT",0,0,0,0,0,0
"AA06",0,0,0,0,0,0
"AAAS",511.675280264984,503.316149379705,520.642295360556,644.653395766124,581.164228948263,524.288452465211
"AACS",463.705722740142,436.092417099539,386.915678401509,311.582474620293,290.582114474132,388.78394905029
"AACSP1",0.940579559310633,0,0,0,1.37716641930868,0
"AADAC",0.940579559310633,0,0.891510779726979,0,0,0
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADACP1",0,0.861842721540591,0,0.767444518769195,0,0
"AADAT",0.940579559310633,1.72368544308118,6.24057545808885,0.767444518769195,4.13149925792604,2.53279445635368
"AAED1",193.75938921799,171.506701586578,116.787912144234,150.419125678762,125.32214415709,97.5125865696166
"AAGAB",1275.42588242522,1228.12587819534,1068.92142489265,1084.39910502087,937.850331549211,1173.95023051993
"AAK1",437.369495079444,402.480550959456,348.580714873249,365.303590934137,504.042909466977,468.56697442543
"AAMDC",221.036196437999,241.315962031365,232.684313508741,247.88457956245,173.522968832894,153.234064609398
"AAMP",1583.93597787911,1821.07367061527,1548.55422438576,1305.4231264264,1287.65060205362,1227.13891410336
"AANAT",3.76231823724253,0.861842721540591,7.13208623781583,0.767444518769195,0,0
"AAR2",379.994141961496,442.987158871864,389.59021074069,485.024935862131,483.385413177347,384.984757365759
"AARD",0.940579559310633,5.17105632924354,0.891510779726979,22.2558910443067,4.13149925792604,13.9303695099452
"AARS",868.154933243714,1064.37576110263,1011.86473499012,822.700524120577,977.788157709163,862.416512388427
"AARS2",235.144889827658,221.493579435932,256.75510456137,234.838022743374,334.651439892009,234.283487212715
"AARSD1",20.6927503048339,8.61842721540591,9.80661857699677,14.5814458566147,13.7716641930868,12.6639722817684
"AARSP1",0,0,0,0,0,0
"AASDH",88.4144785751995,112.901396521817,152.448343333313,155.023792791377,225.855292766624,176.029214716581
"AASDHPPT",620.782509145018,612.77017501536,578.590496042809,835.747080939654,779.476193328713,1029.58094650777
"AASS",128.859399625557,124.967194623386,106.08978278751,155.023792791377,183.163133768054,208.955542649178
"AATBC",0,0,1.78302155945396,1.53488903753839,0,2.53279445635368
"AATF",548.357883078099,656.72415381393,497.463015087654,453.559710592594,410.395592953987,443.239029861894
"AATK",320.737629724926,436.092417099539,407.420426335229,218.721687849221,181.785967348746,105.110969938678
"AATK-AS1",0,5.17105632924354,6.24057545808885,0,0,1.26639722817684
"AB015752.3",0,2.58552816462177,0,1.53488903753839,1.37716641930868,3.79919168453052
"AB019438.66",0,0,0,0,0,0
"AB019440.50",0,0,0,0,0,0
"AB019441.29",21.6333298641446,31.0263379754613,20.5047479337205,14.5814458566147,17.9031634510128,7.59838336906103
"ABALON",1.88115911862127,0,1.78302155945396,2.30233355630759,2.75433283861736,0
"ABAT",303.807197657334,351.631830388561,283.500427953179,303.140584913832,458.59641762979,421.710276982887
"ABBA01037345.1",0,0,0,0,0,0
"ABBA01037346.1",0,0,0,0,0,0
"ABBA01037349.1",0,0,0,0,0,0
"ABC11-4932300O16.1",0,0,0,0,0,0
"ABC12-47043100G14.2",0,0,0,0,0,0
"ABC12-47964100C23.1",0,0,0,0,0,0
"ABC12-49244600F4.4",0,1.72368544308118,0,2.30233355630759,2.75433283861736,0
"ABC7-42391500H16.4",0,0,0,0,0,0
"ABC7-42404400C24.1",0.940579559310633,0,2.67453233918094,1.53488903753839,13.7716641930868,0
"ABC7-42418200C9.1",0,0,0,0,0,0
"ABC7-481722F1.1",0,0,0,0,0,0
"ABC7-481722F1.2",0,0,0,0,0,0
"ABCA1",266.184015284909,149.098790826522,472.500713255299,197.233241323683,55.0866567723472,78.516628146964
"ABCA10",35.742023253804,33.611866140083,50.8161144444378,36.8373369009214,37.1834933213344,36.7255196171283
"ABCA11P",10.346375152417,8.61842721540591,8.02359701754281,35.302447863383,28.9204948054823,32.9263279325978
"ABCA12",1.88115911862127,0.861842721540591,0.891510779726979,6.13955615015356,2.75433283861736,3.79919168453052
"ABCA13",0.940579559310633,5.17105632924354,3.56604311890791,0,2.75433283861736,0
"ABCA17P",15.0492729489701,21.5460680385148,28.5283449512633,51.4187827575361,30.297661224791,24.0615473353599
"ABCA2",997.954912428581,751.526853183395,1407.6955211889,792.770187888579,1498.35706420784,835.822170596714
"ABCA3",1381.71137262732,2049.46199182352,3844.19448218273,1320.77201680178,1910.12982358114,849.752540106659
"ABCA4",110.047808439344,129.276408231089,123.028487602323,46.0466711261517,16.5259970317042,49.3894918988967
"ABCA5",303.807197657334,374.901583870157,459.128051559394,316.954586251678,421.412924308456,381.185565681229
"ABCA6",52.6724553213954,116.34876740798,31.2028772904442,47.5815601636901,111.550479964003,65.8526558651956
"ABCA7",684.741919178141,735.151841474124,923.60516779715,542.583274769821,553.620900562089,509.091685727089
"ABCA8",264.302856166288,207.704095891282,257.646615341097,468.141156449209,345.668771246479,619.268244578474
"ABCA9",33.8608641351828,41.3684506339484,53.4906467836187,13.0465568190763,38.560659740643,22.7951501071831
"ABCA9-AS1",0,0,0,0,0,0
"ABCB1",0,0,0.891510779726979,150.419125678762,130.830809834325,208.955542649178
"ABCB10",158.017365964186,175.815915194281,163.146472690037,152.72145923507,173.522968832894,206.422748192825
"ABCB10P1",0,0,0,0,0,0
