	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
51043	CHI3L1	925.6152124828	1848.1647289088	3.0656960569	0.0016587786	-9.2356629655	2.32773490942913E-087	6.81909941717263E-083
10342	APOL6	1222.846918208	2354.1289221482	91.5649142678	0.0388954545	-4.6842546264	7.82195538275316E-042	1.14572091468877E-037
55373	TP53	3013.505576781	2.6479087425	6024.3632448194	2275.140056021	11.151739644	1.13573944957505E-040	1.10904957251003E-036
51234	GLP1R	9451.6403716533	18596.3019605083	306.9787827983	0.0165075176	-5.9207330015	3.08682165649817E-036	2.26071101067785E-032
51078	C1RL	2831.589307944	5656.2786714099	6.8999444781	0.0012198735	-9.6790527317	9.37545898334783E-032	5.49308141834349E-028
79	NXPH4	81.849498157	0.2971702599	163.4018260541	549.8592830391	9.1029186491	2.64060704477282E-030	1.28927638961033E-026
27337	C10orf10	3060.1213255056	544.7494180352	5575.493232976	10.2349686817	3.3554347827	3.43867916959475E-029	1.4390872324754E-025
19097	ICAM1	4602.965246206	8473.592376622	732.3381157901	0.0864259317	-3.5323919389	5.13910624705827E-029	1.88187646884465E-025
28659	A4GALT	1294.7027380561	2392.9842117076	196.4212644046	0.0820821397	-3.6067878502	4.77433995095264E-028	1.55404765403508E-024
29702	PLA2G5	277.9644906563	34.3163827575	521.6125985551	15.2001043421	3.9260093221	6.41047802915492E-028	1.87794953864094E-024
10321	CLMN	698.4445541884	1261.8843673482	135.0047410286	0.1069866182	-3.224497738	1.05737270159852E-025	2.81597575393897E-022
55230	TNFAIP2	2540.9246768779	4632.6141662374	449.2351875184	0.0969722864	-3.3662836904	1.42493431917513E-025	3.47862090668629E-022
30841	PTGES	1214.509139495	2209.6524049667	219.3658740233	0.0992761909	-3.3324084273	2.4979406179269E-025	5.62901310785911E-022
8507	C2orf88	105.5041204583	8.4181488685	202.5900920482	24.0658718696	4.5889167858	5.91097586535657E-025	1.23687169982586E-021
53728	ST8SIA5	1233.1671994792	2170.0475766261	296.2868223323	0.1365347127	-2.8726603055	8.33149754711578E-024	1.62714147095171E-020
16895	GBP2	1052.6904564737	1936.4006993405	168.9802136069	0.0872651067	-3.5184512883	5.7532312252529E-023	1.05338067964865E-019
